section,unit,exercise,unit_exercise,level
artikel_pronomen_kasus,pronomen,22,pronomen 22,B1
artikel_pronomen_kasus,pronomen,23,pronomen 23,B1
artikel_pronomen_kasus,pronomen,24,pronomen 24,B2
artikel_pronomen_kasus,pronomen,25,pronomen 25,B2
artikel_pronomen_kasus,pronomen,26,pronomen 26,B2
artikel_pronomen_kasus,pronomen,27,pronomen 27,B2
artikel_pronomen_kasus,pronomen,28,pronomen 28,B2
artikel_pronomen_kasus,pronomen,29,pronomen 29,B2
artikel_pronomen_kasus,pronomen,30,pronomen 30,B2
artikel_pronomen_kasus,pronomen,31,pronomen 31,B2
artikel_pronomen_kasus,pronomen,32,pronomen 32,B2
artikel_pronomen_kasus,pronomen,33,pronomen 33,C1
artikel_pronomen_kasus,pronomen,34,pronomen 34,C1
artikel_pronomen_kasus,pronomen,35,pronomen 35,C1
artikel_pronomen_kasus,pronomen,36,pronomen 36,C1
artikel_pronomen_kasus,pronomen,37,pronomen 37,C1
artikel_pronomen_kasus,pronomen,38,pronomen 38,C1
artikel_pronomen_kasus,pronomen,39,pronomen 39,C1
artikel_pronomen_kasus,pronomen,40,pronomen 40,C1
artikel_pronomen_kasus,pronomen,41,pronomen 41,C1
artikel_pronomen_kasus,pronomen,42,pronomen 42,C1
artikel_pronomen_kasus,pronomen,43,pronomen 43,C1
artikel_pronomen_kasus,praepositionen_artikel,1,praepositionen_artikel 1,A1
artikel_pronomen_kasus,praepositionen_artikel,2,praepositionen_artikel 2,A1
artikel_pronomen_kasus,praepositionen_artikel,3,praepositionen_artikel 3,A1
artikel_pronomen_kasus,praepositionen_artikel,4,praepositionen_artikel 4,A1
artikel_pronomen_kasus,praepositionen_artikel,5,praepositionen_artikel 5,A1
artikel_pronomen_kasus,praepositionen_artikel,6,praepositionen_artikel 6,A1
artikel_pronomen_kasus,praepositionen_artikel,7,praepositionen_artikel 7,A2
artikel_pronomen_kasus,praepositionen_artikel,8,praepositionen_artikel 8,A2
artikel_pronomen_kasus,praepositionen_artikel,9,praepositionen_artikel 9,A2
artikel_pronomen_kasus,praepositionen_artikel,10,praepositionen_artikel 10,A2
artikel_pronomen_kasus,praepositionen_artikel,11,praepositionen_artikel 11,B1
artikel_pronomen_kasus,praepositionen_artikel,12,praepositionen_artikel 12,B1
artikel_pronomen_kasus,praepositionen_artikel,13,praepositionen_artikel 13,B1
artikel_pronomen_kasus,praepositionen_artikel,14,praepositionen_artikel 14,B1
artikel_pronomen_kasus,praepositionen_artikel,15,praepositionen_artikel 15,B1
artikel_pronomen_kasus,praepositionen_artikel,16,praepositionen_artikel 16,B1
artikel_pronomen_kasus,praepositionen_artikel,17,praepositionen_artikel 17,B1
artikel_pronomen_kasus,praepositionen_artikel,18,praepositionen_artikel 18,B1
artikel_pronomen_kasus,praepositionen_artikel,19,praepositionen_artikel 19,B1
artikel_pronomen_kasus,praepositionen_artikel,20,praepositionen_artikel 20,B1
artikel_pronomen_kasus,praepositionen_artikel,21,praepositionen_artikel 21,B1
artikel_pronomen_kasus,praepositionen_artikel,22,praepositionen_artikel 22,B1
artikel_pronomen_kasus,verben_artikel,1,verben_artikel 1,A2
artikel_pronomen_kasus,verben_artikel,2,verben_artikel 2,A2
artikel_pronomen_kasus,verben_artikel,3,verben_artikel 3,A2
artikel_pronomen_kasus,verben_artikel,4,verben_artikel 4,B1
artikel_pronomen_kasus,verben_artikel,5,verben_artikel 5,B1
artikel_pronomen_kasus,verben_artikel,6,verben_artikel 6,B1
satzbildung,konnektoren,1,konnektoren 1,A1
satzbildung,konnektoren,2,konnektoren 2,A1
satzbildung,konnektoren,3,konnektoren 3,A2
satzbildung,konnektoren,4,konnektoren 4,A2
satzbildung,konnektoren,5,konnektoren 5,B1
satzbildung,konnektoren,6,konnektoren 6,B1
satzbildung,konnektoren,7,konnektoren 7,B1
satzbildung,konnektoren,8,konnektoren 8,B1
satzbildung,konnektoren,9,konnektoren 9,B1
satzbildung,konnektoren,10,konnektoren 10,B1
satzbildung,konnektoren,11,konnektoren 11,B1
satzbildung,konnektoren,12,konnektoren 12,B2
satzbildung,konnektoren,13,konnektoren 13,B2
satzbildung,konnektoren,14,konnektoren 14,B2
satzbildung,konnektoren,15,konnektoren 15,B2
satzbildung,konnektoren,16,konnektoren 16,B2
satzbildung,konnektoren,17,konnektoren 17,B2
satzbildung,konnektoren,18,konnektoren 18,B2
satzbildung,konnektoren,19,konnektoren 19,C1
satzbildung,konnektoren,20,konnektoren 20,C1
satzbildung,konnektoren,21,konnektoren 21,C1
satzbildung,konnektoren,22,konnektoren 22,C1
satzbildung,konnektoren,23,konnektoren 23,C1
satzbildung,konnektoren,24,konnektoren 24,C1
satzbildung,konnektoren,25,konnektoren 25,C1
satzbildung,konnektoren,26,konnektoren 26,C1
satzbildung,konnektoren,27,konnektoren 27,C1
satzbildung,konnektoren,28,konnektoren 28,C1
satzbildung,konnektoren,29,konnektoren 29,C1
satzbildung,konnektoren,30,konnektoren 30,C1
satzbildung,konnektoren,31,konnektoren 31,C1
satzbildung,konnektoren,32,konnektoren 32,C1
satzbildung,fragen,1,fragen 1,A1
satzbildung,fragen,2,fragen 2,A1
satzbildung,fragen,3,fragen 3,A2
satzbildung,fragen,4,fragen 4,A2
satzbildung,fragen,5,fragen 5,B1
satzbildung,fragen,6,fragen 6,B1
satzbildung,fragen,7,fragen 7,B2
satzbildung,fragen,8,fragen 8,B2
satzbildung,fragen,9,fragen 9,B2
satzbildung,fragen,10,fragen 10,B2
satzbildung,fragen,11,fragen 11,C1
satzbildung,fragen,12,fragen 12,C1
satzbildung,fragen,13,fragen 13,C2
satzbildung,fragen,14,fragen 14,C2
satzbildung,adverbien,1,adverbien 1,A1
satzbildung,adverbien,2,adverbien 2,A1
satzbildung,adverbien,3,adverbien 3,A1
satzbildung,adverbien,4,adverbien 4,A1
satzbildung,adverbien,5,adverbien 5,A2
satzbildung,adverbien,6,adverbien 6,A2
satzbildung,adverbien,7,adverbien 7,A2
satzbildung,adverbien,8,adverbien 8,A2
satzbildung,adverbien,9,adverbien 9,A2
satzbildung,adverbien,10,adverbien 10,A2
satzbildung,adverbien,11,adverbien 11,B1
satzbildung,adverbien,12,adverbien 12,B1
satzbildung,adverbien,13,adverbien 13,B1
satzbildung,adverbien,14,adverbien 14,B1
satzbildung,adverbien,15,adverbien 15,B1
satzbildung,adverbien,16,adverbien 16,B1
satzbildung,adverbien,17,adverbien 17,B1
satzbildung,adverbien,18,adverbien 18,B1
satzbildung,adverbien,19,adverbien 19,B1
satzbildung,adverbien,20,adverbien 20,B1
satzbildung,adverbien,21,adverbien 21,B2
satzbildung,adverbien,22,adverbien 22,B2
satzbildung,adverbien,23,adverbien 23,B2
satzbildung,adverbien,24,adverbien 24,B2
satzbildung,adverbien,25,adverbien 25,B2
satzbildung,adverbien,26,adverbien 26,B2
satzbildung,adverbien,27,adverbien 27,B2
satzbildung,adverbien,28,adverbien 28,B2
satzbildung,adverbien,29,adverbien 29,B2
satzbildung,adverbien,30,adverbien 30,B2
satzbildung,adverbien,31,adverbien 31,B2
satzbildung,adverbien,32,adverbien 32,B2
satzbildung,adverbien,33,adverbien 33,B2
satzbildung,adverbien,34,adverbien 34,B2
satzbildung,adverbien,35,adverbien 35,B2
satzbildung,adverbien,36,adverbien 36,B2
satzbildung,adverbien,37,adverbien 37,B2
satzbildung,adverbien,38,adverbien 38,B2
satzbildung,adverbien,39,adverbien 39,B2
satzbildung,adverbien,40,adverbien 40,B2
satzbildung,adverbien,41,adverbien 41,C1
satzbildung,adverbien,42,adverbien 42,C1
satzbildung,adverbien,43,adverbien 43,C1
satzbildung,adverbien,44,adverbien 44,C1
satzbildung,adverbien,45,adverbien 45,C1
satzbildung,adverbien,46,adverbien 46,C1
satzbildung,adverbien,47,adverbien 47,C1
satzbildung,adverbien,48,adverbien 48,C1
satzbildung,adverbien,49,adverbien 49,C1
satzbildung,adverbien,50,adverbien 50,C1
satzbildung,adverbien,51,adverbien 51,C1
satzbildung,adverbien,52,adverbien 52,C1
satzbildung,adverbien,53,adverbien 53,C1
satzbildung,adverbien,54,adverbien 54,C1
satzbildung,adverbien,55,adverbien 55,C1
satzbildung,adverbien,56,adverbien 56,C1
satzbildung,adverbien,57,adverbien 57,C1
satzbildung,adverbien,58,adverbien 58,C1
satzbildung,adverbien,59,adverbien 59,C1
satzbildung,adverbien,60,adverbien 60,C1
satzbildung,adverbien,61,adverbien 61,C1
satzbildung,adverbien,62,adverbien 62,C1
satzbildung,adverbien,63,adverbien 63,C1
satzbildung,adverbien,64,adverbien 64,C1
satzbildung,adverbien,65,adverbien 65,C1
satzbildung,adverbien,66,adverbien 66,C1
satzbildung,adverbien,67,adverbien 67,C1
satzbildung,adverbien,68,adverbien 68,C1
satzbildung,adverbien,69,adverbien 69,C1
satzbildung,adverbien,70,adverbien 70,C1
satzbildung,adverbien,71,adverbien 71,C1
satzbildung,adverbien,72,adverbien 72,C1
satzbildung,adverbien,73,adverbien 73,C1
satzbildung,adverbien,74,adverbien 74,C1
satzbildung,adverbien,75,adverbien 75,C1
satzbildung,adverbien,76,adverbien 76,C1
satzbildung,adverbien,77,adverbien 77,C1
satzbildung,adverbien,78,adverbien 78,C1
satzbildung,adverbien,79,adverbien 79,C1
satzbildung,adverbien,80,adverbien 80,C1
satzbildung,wortstellung,1,wortstellung 1,A1
adjektive,adjektive,1,adjektive 1,A1
adjektive,adjektive,2,adjektive 2,A1
adjektive,adjektive,3,adjektive 3,A1
adjektive,adjektive,4,adjektive 4,A2
adjektive,adjektive,5,adjektive 5,A2
adjektive,adjektive,6,adjektive 6,A2
adjektive,adjektive,7,adjektive 7,B1
adjektive,adjektive,8,adjektive 8,B1
adjektive,adjektive,9,adjektive 9,B1
adjektive,adjektive,10,adjektive 10,B1
adjektive,adjektive,11,adjektive 11,B1
adjektive,adjektive,12,adjektive 12,B1
adjektive,adjektive,13,adjektive 13,B2
adjektive,adjektive,14,adjektive 14,B2
adjektive,adjektive,15,adjektive 15,B2
adjektive,adjektive,16,adjektive 16,B2
adjektive,adjektive,17,adjektive 17,B2
adjektive,adjektive,18,adjektive 18,B2
adjektive,adjektive,19,adjektive 19,B2
adjektive,adjektive,20,adjektive 20,B2
adjektive,adjektive,21,adjektive 21,B2
adjektive,adjektive,22,adjektive 22,B2
adjektive,adjektive,23,adjektive 23,B2
adjektive,adjektive,24,adjektive 24,B2
